,commodity_type,type_value,commodities,ideal_mix_percent,actual_percent,ideal_mix,change_required
0,diversified low risk,124799.0949002,"AZ Diversified, BGDA",0.25,0.2603707058623918,119828.279535945,-4970.815364255002
1,equity accumulation,354514.02324358,"AZ Drawdown, BGGE",0.75,0.7396292941376083,359484.838607835,4970.815364254988
