,commodity,latest_price,quantity,value,price_year1,year1,year1_percent,annualised1_percent,year1_percent_value,price_year3,year3,year3_percent,annualised3_percent,year3_percent_value,price_year5,year5,year5_percent,annualised5_percent,year5_percent_value,percent_value,commodity_name,commodity_type,commodity_sector,commodity_id,commodity_ocf
0,AZ Diversified,14.0477,8186.297,114998.6443669,12.67287,1.1084860808956456,0.1084860808956456,0.1084860808956456,12475.752235677091,13.163934426229508,1.0671353673723538,0.06713536737235382,0.02189554201529975,2517.957649437973,,,,,,0.18359885993406921,AZ L&G - Diversified,diversified low risk,,n/a,0.0
1,AZ Drawdown,17.5261,10184.7438,178498.83831318,14.896592,1.1765174208973435,0.17651742089734346,0.17651742089734346,31508.154572214447,14.764925373134329,1.1870090472580237,0.1870090472580237,0.058809939863025296,10497.505946817992,11.789907,1.4865342025174584,0.4865342025174584,0.08251763785222277,14729.302496969452,0.2849788655707702,AZ L&G - Drawdown,equity accumulation,,n/a,0.0
2,BGDA,0.6111,72609.907,44371.9141677,0.5286,1.156072644721907,0.15607264472190696,0.15607264472190696,6925.241995526392,0.5684,1.0751231527093594,0.07512315270935943,0.02443892440470563,1084.401856036507,0.5033,1.2141863699582753,0.21418636995827534,0.03957797717898637,1756.1506063171726,0.0708411207726109,AZ Investment Account - Diversified (Active),diversified low risk,,n/a,0.0
3,BGGE,0.8925,264933.952,236453.55216,0.6734,1.3253638253638254,0.32536382536382535,0.32536382536382535,76933.4322516424,0.6796,1.3132725132430842,0.31327251324308425,0.09509455151042934,22485.44449570311,0.5152,1.732336956521739,0.732336956521739,0.11616005013161512,27466.45647270407,0.3775053422841252,AZ Investment Account - Global Equity (Passive),equity accumulation,,n/a,0.0
9,VGLS60A,256.86,202.582,52035.21252,,,,,,,,,,,,,,,,0.08307581143842435,unknown,unknown,,unknown,
