,commodity_type,type_value,commodities,ideal_mix_percent,actual_percent,ideal_mix,change_required
0,UK equity,3318.195046,"RLAAKA, RLFTT",0.15,0.03996086634499748,12455.41707236556,9137.222026365562
1,UK property,1197.145542,LGAAIJ,0.03,0.01441716726599307,2491.083414473112,1293.937872473112
2,US equity,4849.402273,MDHAAJ,0.25,0.058401122718233354,20759.028453942603,15909.626180942603
3,global bonds,6581.532706,"LGXITA, RWAABC",0.22,0.07926108777925515,18267.94503946949,11686.41233346949
4,global equity,43875.1817487704,"LGITI, SMT, VVDVWE, VVLSRE",0.15,0.5283867432201231,12455.41707236556,-31419.76467640484
5,shares,23214.656500000005,"AZN, BARC",0.2,0.2795730126713977,16607.222763154085,-6607.43373684592
